"Item Id","Item Name","Price","Sales","Shop Name","Commission Rate","Commission","Product Link","Offer Link",
18499335464,"Kit Jogo de Cozinha Silicone, Utensílios e Copo Suporte para Cozinheiro Cabo de Madeira MasterChef","R$19,27","15,7mil","Eterno-shop","11,00%","R$2,12","https://shopee.com.br/product/728525193/18499335464","https://s.shopee.com.br/tv5q4mgV",
22897053962,"Kit Com 3 Camisetas Masculinas Básicas Slim Hering","R$89,99","16,3mil","Hering_Oficial","33,00%","R$29,70","https://shopee.com.br/product/1024179833/22897053962","https://s.shopee.com.br/1B5sTz0LJk",
22397614313,"Projetor 4K HD 150 Polegadas Celular, Tv B0x, Xbox, PS, Pc, Wifi HY300 Pro Magcubic Envio Imediato","R$284,99","1,5mil","MAIS LEGAL SHOP","9,00%","R$25,65","https://shopee.com.br/product/1171941844/22397614313","https://s.shopee.com.br/10mSHg0yej",
23793218493,"Kit Pano de prato GRANDE estampado 100% algodão pano de copa grande master chef","R$21,97","2,4mil","Az. Home - Pano de prato atacado","33,00%","R$7,25","https://shopee.com.br/product/648098895/23793218493","https://s.shopee.com.br/qT25N1bzi",
22591749660,"Frigideira Antiaderente 3 Furos Divisórias Fritar Ovo Lanche Hambúrguer Jogo de Panelas Multiuso","R$39,80","10,9mil","Eterno-shop","10,00%","R$3,98","https://shopee.com.br/product/728525193/22591749660","https://s.shopee.com.br/g9bt42FKh",
23797425282,"Ferramentas 46 Peças Jogo De Soquetes Chave Catraca Reversível  Com Maleta Jogo De Ferramentas Completo","R$34,64","22,4mil","Welian GL","7,00%","R$2,42","https://shopee.com.br/product/388412677/23797425282","https://s.shopee.com.br/4VMKS6neYS",
23897550674,"Espelho Redondo Adnet 30cm Com Alça + Suporte e Pendurador Ideal Para Sala / Banheiro / Quarto","R$38,00","43,2mil","Outlet dos Espelhos","11,00%","R$4,18","https://shopee.com.br/product/408999524/23897550674","https://s.shopee.com.br/4L2uFnoHtR",
22496096345,"Penteadeira 50x30 Escrivaninha Suspensa Organizadora Maquiagens Quarto 100% MDF","R$94,90","2mil","Ambientare Móveis","18,00%","R$17,08","https://shopee.com.br/product/296130185/22496096345","https://s.shopee.com.br/4AjU3UovEQ",
21897664611,"Kit Completo Cozinha Potes de Alimentos, Frascos de armazenamento de Acrílico. BC-77/78/79","R$16,99","1,8mil","New Daily _Brasil","3,00%","R$0,51","https://shopee.com.br/product/1195620126/21897664611","https://s.shopee.com.br/40Q3rBpYZP",
23997768602,"Devocional Café Com Deus Pai 2025 | Porções Diárias De Transformação | Junior Rostirola | Edição 2025","R$68,90","4,6mil","Livraria Árvore Frutífera","13,00%","R$8,96","https://shopee.com.br/product/217167158/23997768602","https://s.shopee.com.br/5Ac1FKl7Ce",
22892914553,"Video game Stick 4K Com 20000 Jogos 64gb 2 Controles Sem Fio Console Portatil Jogos Retro Video Game","R$105,60","20,6mil","Hybe Store","9,00%","R$9,50","https://shopee.com.br/product/432679242/22892914553","https://s.shopee.com.br/50Ib31lkXd",
