Item Id;Item Name;Price;Sales;Shop Name;Commission Rate;Commission;Product Link;Offer Link
14534238417;Caderno Brochura Grande Universitário Spider-Man 48 Folhas Tilibra | Homen Aranha | Herois | Vilões | Desenhos | Personagem | Material Escolar;R$35,98;58;Papelaria Bybishop;3%;R$1,08;https://shopee.com.br/product/554666321/14534238417;https://shope.ee/8A7GU3H6rJ
14239328464;Cola Bastão Grande 40g  A Unidade - Material Escolar;R$10,00;102;Flash Aviamento;3%;R$0,30;https://shopee.com.br/product/657548989/14239328464;https://shope.ee/8KQggMGTWM
13021019604;Apontador Coelho Tilibra - Material Escolar - Papelaria Fofa;R$8,99;65;Papelaria Luz;3%;R$0,27;https://shopee.com.br/product/481317114/13021019604;https://shope.ee/8Uk6sfFqBP
23191070416;Caneta Esferográfica De Ponta Extra Fina 0,35mm Preto Azul Vermelho Para Material Escolar Japonês De Escritório;R$4,74;40;jenny540118556.br;3%;R$0,14;https://shopee.com.br/product/721571154/23191070416;https://shope.ee/8f3X4yFCqS
20038539133;Caderno Brochurão Grande Dragon Ball 80 Folhas São Domingos | Material Escolar | Goku | Personagens | Desenho | Brochura |;R$37,99;22;Papelaria Bybishop;3%;R$1,14;https://shopee.com.br/product/554666321/20038539133;https://shope.ee/8pMxHHEZVV
19968484694;Lápis Borracha Lhama Material Escolar Lápis de Escrever;R$1,19;35;Better_Shop;3%;R$0,04;https://shopee.com.br/product/358061205/19968484694;https://shope.ee/8zgNTaDwAY
23796157660;6 Canetas Multicoloridas Sanrio Mymelody Kuromi Cinnamoroll PomPom Purin Cartoon Esferográficas Para Crianças Material Escolar Artigos De Papelaria;R$6,00;27;Sanrio/Kuromi/SPYxFAMILY Store;3%;R$0,18;https://shopee.com.br/product/262594052/23796157660;https://shope.ee/99znftDIpb
19376489090;9 Conjunto De Caneta Gel Colorida 0,5mm De Recarga Tinta Lisa Escrita Durable Signing Pen Gift Material De Escritório Escolar;R$28,00;26;DDAYUP Store;3%;R$0,84;https://shopee.com.br/product/299316156/19376489090;https://shope.ee/6fIShIMou8
23838159568;Sanrio PU Estojo De Lápis De Grande Capacidade Kawaii HelloKitty Cinnamoroll Melody Doraemon Ultraman Escolar Material De Papelaria;R$62,00;37;ketech1.br;3%;R$1,86;https://shopee.com.br/product/382880436/23838159568;https://shope.ee/6pbstbMBZB
23338977710;Lápis Eterno Escrita Ilimitada Sem De Tinta Para Esboço De Arte Kawaii Material Escolar De Caneta;R$4,50;37;DDAYUP Store;3%;R$0,14;https://shopee.com.br/product/299316156/23338977710;https://shope.ee/6zvJ5uLYEE
22296037365;Borracha Escolar Panda FoFa Decorada Kwaii Tilibra | Material Escolar | Papelaria;R$11,67;22;Papelaria Bybishop;3%;R$0,35;https://shopee.com.br/product/554666321/22296037365;https://shope.ee/7AEjIDKutH
23595567633;8 Pcs/Conjunto Lápis Eterno Escrita Ilimitada Nova Tecnologia Sem Caneta De Tinta Para Escrever Arte Esboço Pintura Material Escolar;R$5,68;53;M&P Stationery Wholesale Store;3%;R$0,17;https://shopee.com.br/product/568595450/23595567633;https://shope.ee/7KY9UWKHYK
19397214326;Apagador E Borracha De Urso Kaba Criativo Desenho Animado Fofo Crianças Borracha Especial Para Os Alunos Limparem Material De Papelaria Escolar;R$9,99;68;mLong.br;3%;R$0,30;https://shopee.com.br/product/663088776/19397214326;https://shope.ee/7UrZgpJeDN
